UM,REPORT
science,"Automatic text highlighting is capable of becoming a new tool in textual information processing. Preliminary research is done to examine the potential of a new application.for text summarization algorithms. A framework is built for parsing and highlighting PDF files, to which extraction strategies can be applied. Also a small dataset of highlighted documents is gathered to test the highlighting capabilities of our text summarization algorithms on. Thereby, ROUGE-N scores are obtained, the performance per task and the performance per algorithm are evaluated. In the end, the algorithms perform surprisingly well and may encourage more investment in automatic text highlighting."
science,"With the advent of Internet, the data being added online is increasing at enormous rate. Though search engines are using IR techniques to facilitate the search requests from users, the results are not effective towards the search query of the user. The search engine user has to go through certain webpages before getting at the webpage he/she wanted. This problem of Information Overload can be solved using Automatic Text Summarization. Summarization is a process of obtaining at abridged version of documents so that user can have a quick view to understand what exactly the document is about. Email threads from W3C are used in this system. Apart from common IR features like Term Frequency, Inverse Document Frequency, Term Rank, a variation of page rank based on graph model, which can cluster the words with respective to word ambiguity, is implemented. Term Rank also considers the possibility of co-occurrence of words with the corpus and evaluates the rank of the word accordingly. Sentences of email threads are ranked as per features and summaries are generated. System implemented the concept of pyramid evaluation in content selection. The system can be considered as a framework for Unsupervised Learning in text summarization."
science,"Automatic text summarization is the technique, where a computer is endorsed with the work of summarizing a text. A text is entered into the computer and a summarized text is returned, which is a non redundant extract from the original text. According to Radev et al, a summary can be loosely defined as a text that is produced from one or more texts, that conveys important information in the original text (s), and that is no longer than half of the original text(s) and usually significantly less than that. In other words, the main goal of a summary is to present the main ideas in a document in less space "
business,"With the flood of data produced by today’s information systems, something must be done to allow business decision-makers to extract the information the data contains. The recent advances in visualization technologies provide the capability to begin to use human visual/spatial abilities to solve the abstract problems found in business. If business problems can be visualized with an appropriate representation, then it may be possible to use innate spatial/visual abilities to allow the business decision-maker to separate the “wheat from the chaff.” This tutorial surveys the issues related to applying visualization technologies to business problem solving."
social science,"This paper introduces the special issue on Social Acceptance of Renewable Energy Innovation. It is a collection of best papers presented at an international research conference held in Tramela(Switzerland) in February 2006. While there are ambitious government targets to increase the share of renewable energy in many countries, it is increasingly recognized that social acceptance may be a constraining factor in achieving this target. This is particularly apparent in the case of wind energy, which has become a subject of contested debates in several countries largely due to its visual impact on landscapes. This paper introduces three dimensions of social acceptance, namely socio-political, community and market acceptance. Factors influencing socio-political and community acceptance are increasingly recognized as being important for understanding the apparent contradictions between general public support for renewable energy innovation and the difficult realization of specific projects. The third dimension, market acceptance, has received less attention so far and provides opportunities for further research, particularly from management scholars."
business,"Nothing has rocked the young field of supply chain management like the emergence of the Internet. While the management of information flows have always been a key aspect of supply chain management, the rapid growth of web-based information transfer between companies, their suppliers, and their customers has decidedly increased the importance of information management in creating effective supply chains. Indeed, the Internet has emerged as a most cost-effective means of driving supply chain integration. We define e-business as the marriage between the Internet and supply chain integration. This marriage is transforming many processes within the supply chain from procurement to customer management and product design."
science,"We develop a method to detect atypical traffic jams in the City of Boston. Our motivation is to detect these traffic jams which are often caused by some event (e.g., accident, lane closure, etc.) and enable the City to intervene before congestion spreads and adjacent roads are negatively affected. Using a traffic jam dataset provided by the City of Boston, we present a novel detection system for anomalous jam identification. We demonstrate its effectiveness by using it to identify traffic jams that cannot be explained by typical traffic patterns."
social science,"This paper considers the practical and intellectual challenges that attend efforts to integrate the social and natural sciences in environmental research,and the broader political, social and economic context in which this takes place. Based on the experiences of researchers in Australia—but with obvious relevance for researchers in many countries—it is the outcome of an interdisciplinary workshop which brought together social and natural scientists involved in environmental management. This event and the wider discussions that followed were initiated to enable researchers to exchange ideas about the obstacles to interdisciplinary collaboration, and to discuss ways to overcome these. The paper provides a summary of the issues and proposes some guidelines for interdisciplinary collaboration."
business,"Many studies found that women-owned firms underperform when comparing performance indicators at an aggregate level. The performance gap might be attributed to gender differences in personal and firm characteristics affecting performance. However, previous studies were not able to entirely explain female underperformance in this way. There are two theoretical perspectives on the causes of female underperformance. Liberal feminist theory suggests that women lack access to relevant resources like education and business experience or financial capital. Social feminist theory suggests that women have different attitudes and values and, consequently, adopt a different approach to business."
science,"In this changing environment the managers and the employees have to rapidly adapt. They have to be opened and prepared for new strategies and to understand the fact that risk and innovation are unavoidable. Organizations cannot compete in this ever-changing environment without proper knowledge and lack of capacity for renewal. Managers have to manage the organization in such a manner that the employees will change their vision, ideas and attitudes on long term. Organizations need to see knowledge management as a strategy, this means knowing how to apply knowledge management (KM) concepts to enhance the performance of the system and processes. The aim of the paper is to identify ways in which companies can develop and support the KM strategy to drive more value, by revising the practices in order to ensure the knowledge focus. The companies are more and more aware about the potential of focusing on learning and training. Among the benefits of approaching knowledge management strategy within organizations we must underline its positive impact on organizational performance, ensuring not only its survival but even providing a competitive advantage."
